CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       1000    160     0       1       75.5528973    -145.1020003  0.000   0.220   22.556  0.394   2      0.000   0.200   1000    161     75.5546873    -145.1032782  -1548639.1573700  275910.4296660  -1548439.1573700  275910.4296660  
1       1040    176     0       1       75.5941412    -144.8347988  0.000   0.245   24.887  0.608   3      0.000   0.200   1040    177     75.5959328    -144.8360469  -1545439.1573700  267910.4296660  -1545239.1573700  267910.4296660  
2       1072    176     0       1       75.6039649    -144.6042877  0.000   0.250   25.771  0.449   3      0.000   0.200   1072    177     75.6057578    -144.6055076  -1545439.1573700  261510.4296660  -1545239.1573700  261510.4296660  
3       1104    192     0       1       75.6422647    -144.3925651  0.000   0.347   37.734  0.672   3      0.000   0.200   1104    193     75.6440588    -144.3937616  -1542239.1573700  255110.4296660  -1542039.1573700  255110.4296660  
4       1152    200     0       1       75.6706174    -144.0543080  0.000   0.354   38.264  0.695   3      0.000   0.200   1152    201     75.6724134    -144.0554641  -1540639.1573700  245510.4296660  -1540439.1573700  245510.4296660  
5       1016    208     0       1       75.6439238    -145.0482410  0.000   0.292   31.905  0.640   3      0.000   0.200   1016    209     75.6457145    -145.0495203  -1539039.1573700  272710.4296660  -1538839.1573700  272710.4296660  
6       1216    216     0       1       75.7172422    -143.6070905  0.000   0.424   45.633  0.732   3      0.000   0.200   1216    217     75.7190406    -143.6081936  -1537439.1573700  232710.4296660  -1537239.1573700  232710.4296660  
7       1280    216     0       1       75.7341946    -143.1401917  0.000   0.368   40.363  0.755   3      0.000   0.200   1280    217     75.7359952    -143.1412366  -1537439.1573700  219910.4296660  -1537239.1573700  219910.4296660  
8       1088    224     0       1       75.6948812    -144.5471373  0.000   0.350   37.552  0.646   3      0.000   0.200   1088    225     75.6966748    -144.5483578  -1535839.1573700  258310.4296660  -1535639.1573700  258310.4296660  
9       1400    224     0       1       75.7778809    -142.2693466  0.000   0.303   34.766  0.500   3      0.000   0.200   1400    225     75.7796854    -142.2702833  -1535839.1573700  195910.4296660  -1535639.1573700  195910.4296660  
10      1488    224     0       1       75.7972402    -141.6223731  0.000   0.267   28.642  0.412   3      0.000   0.200   1488    225     75.7990472    -141.6232279  -1535839.1573700  178310.4296660  -1535639.1573700  178310.4296660  
11      984     232     0       1       75.6765989    -145.3105528  0.000   0.262   28.039  0.613   3      0.000   0.200   984     233     75.6783882    -145.3118682  -1534239.1573700  279110.4296660  -1534039.1573700  279110.4296660  
12      1144    232     0       1       75.7257836    -144.1496984  0.000   0.305   33.986  0.573   3      0.000   0.200   1144    233     75.7275794    -144.1508711  -1534239.1573700  247110.4296660  -1534039.1573700  247110.4296660  
13      1176    232     0       1       75.7349221    -143.9165840  0.000   0.340   37.761  0.710   3      0.000   0.200   1176    233     75.7367191    -143.9177278  -1534239.1573700  240710.4296660  -1534039.1573700  240710.4296660  
14      1320    232     0       1       75.7731439    -142.8639861  0.000   0.369   41.173  0.773   3      0.000   0.200   1320    233     75.7749459    -142.8649985  -1534239.1573700  211910.4296660  -1534039.1573700  211910.4296660  
15      1032    240     0       1       75.7062941    -144.9733419  0.000   0.304   32.597  0.631   3      0.000   0.200   1032    241     75.7080854    -144.9746173  -1532639.1573700  269510.4296660  -1532439.1573700  269510.4296660  
16      1280    248     0       1       75.7918144    -143.1737602  0.000   0.366   39.322  0.692   3      0.000   0.200   1280    249     75.7936151    -143.1748137  -1531039.1573700  219910.4296660  -1530839.1573700  219910.4296660  
17      1456    248     0       1       75.8337557    -141.8791358  0.000   0.345   38.466  0.749   3      0.000   0.200   1456    249     75.8355619    -141.8800259  -1531039.1573700  184710.4296660  -1530839.1573700  184710.4296660  
18      1560    248     0       1       75.8551587    -141.1107130  0.000   0.307   33.785  0.509   3      0.000   0.200   1560    249     75.8569678    -141.1115053  -1531039.1573700  163910.4296660  -1530839.1573700  163910.4296660  
19      1704    248     0       1       75.8806212    -140.0431469  0.000   0.131   14.683  0.256   1      0.000   0.200   1704    249     75.8824336    -140.0438024  -1531039.1573700  135110.4296660  -1530839.1573700  135110.4296660  
20      1064    256     0       1       75.7449399    -144.7610875  0.000   0.312   34.937  0.662   3      0.000   0.200   1064    257     75.7467325    -144.7623396  -1529439.1573700  263110.4296660  -1529239.1573700  263110.4296660  
21      1592    256     0       1       75.8757155    -140.8799194  0.000   0.320   35.558  0.636   3      0.000   0.200   1592    257     75.8775253    -140.8806830  -1529439.1573700  157510.4296660  -1529239.1573700  157510.4296660  
22      1672    256     0       1       75.8898768    -140.2862068  0.000   0.212   20.781  0.269   1      0.000   0.200   1672    257     75.8916886    -140.2868943  -1529439.1573700  141510.4296660  -1529239.1573700  141510.4296660  
23      992     264     0       1       75.7364646    -145.2947360  0.000   0.314   33.471  0.612   3      0.000   0.200   992     265     75.7382543    -145.2960550  -1527839.1573700  277510.4296660  -1527639.1573700  277510.4296660  
24      1320    264     0       1       75.8308076    -142.8965130  0.000   0.365   42.780  0.752   3      0.000   0.200   1320    265     75.8326097    -142.8975338  -1527839.1573700  211910.4296660  -1527639.1573700  211910.4296660  
25      1376    264     0       1       75.8444412    -142.4840229  0.000   0.388   43.583  0.733   3      0.000   0.200   1376    265     75.8462451    -142.4849916  -1527839.1573700  200710.4296660  -1527639.1573700  200710.4296660  
26      1032    272     0       1       75.7636162    -145.0143184  0.000   0.254   27.800  0.500   3      0.000   0.200   1032    273     75.7654075    -145.0156043  -1526239.1573700  269510.4296660  -1526039.1573700  269510.4296660  
27      1160    272     0       1       75.8022364    -144.0797408  0.000   0.304   36.256  0.671   3      0.000   0.200   1160    273     75.8040328    -144.0809110  -1526239.1573700  243910.4296660  -1526039.1573700  243910.4296660  
28      1192    272     0       1       75.8113055    -143.8453131  0.000   0.320   36.128  0.640   3      0.000   0.200   1192    273     75.8131030    -143.8464540  -1526239.1573700  237510.4296660  -1526039.1573700  237510.4296660  
29      1520    272     0       1       75.8906177    -141.4265169  0.000   0.382   43.641  0.752   3      0.000   0.200   1520    273     75.8924258    -141.4273521  -1526239.1573700  171910.4296660  -1526039.1573700  171910.4296660  
30      1416    280     0       1       75.8826156    -142.2038363  0.000   0.324   34.762  0.732   3      0.000   0.200   1416    281     75.8844207    -142.2047714  -1524639.1573700  192710.4296660  -1524439.1573700  192710.4296660  
31      1712    280     0       1       75.9398988    -140.0045420  0.000   0.305   33.078  0.676   3      0.000   0.200   1712    281     75.9417116    -140.0051952  -1524639.1573700  133510.4296660  -1524439.1573700  133510.4296660  
32      1912    280     0       0       75.9669179    -138.5097157  0.000   0.210   25.070  0.315   2      0.000   0.000   1912    280     75.9669179    -138.5097157  -1524639.1573700  93510.4296660  -1524639.1573700  93510.4296660  
33      1072    288     0       1       75.8047739    -144.7428539  0.000   0.313   33.365  0.614   3      0.000   0.200   1072    289     75.8065668    -144.7441090  -1523039.1573700  261510.4296660  -1522839.1573700  261510.4296660  
34      1128    288     0       1       75.8216549    -144.3330874  0.000   0.348   38.290  0.687   3      0.000   0.200   1128    289     75.8234501    -144.3342916  -1523039.1573700  250310.4296660  -1522839.1573700  250310.4296660  
35      1464    288     0       1       75.9077512    -141.8555946  0.000   0.324   35.997  0.705   3      0.000   0.200   1464    289     75.9095577    -141.8564864  -1523039.1573700  183110.4296660  -1522839.1573700  183110.4296660  
36      1600    288     0       1       75.9351237    -140.8448929  0.000   0.316   34.772  0.688   3      0.000   0.200   1600    289     75.9369339    -140.8456552  -1523039.1573700  155910.4296660  -1522839.1573700  155910.4296660  
37      1632    288     0       1       75.9409331    -140.6065256  0.000   0.286   31.397  0.599   3      0.000   0.200   1632    289     75.9427441    -140.6072573  -1523039.1573700  149510.4296660  -1522839.1573700  149510.4296660  
