CP      startX  startY  dispX   dispY   sLat          sLon          theta   pCorr   pkStr   cCorr   conf   velX    velY    endX    endY    eLat          eLon          nps_startX    nps_startY    nps_endX      nps_endY      
0       208     352     0       0       83.7974276    -34.0977409   0.000   0.244   28.536  0.235   1      0.000   0.000   208     352     83.7974276    -34.0977409   127200.0000000  -660400.0000000  127200.0000000  -660400.0000000  
1       288     360     0       -1      83.6500104    -34.2188161   0.000   0.205   22.952  0.518   3      0.000   -0.200  288     359     83.6503545    -34.2351656   128800.0000000  -676400.0000000  128600.0000000  -676400.0000000  
2       192     384     0       0       83.8148847    -33.5091129   0.000   0.436   48.786  0.635   3      0.000   0.000   192     384     83.8148847    -33.5091129   133600.0000000  -657200.0000000  133600.0000000  -657200.0000000  
3       264     392     0       0       83.6820451    -33.6178984   0.000   0.289   29.120  0.599   3      0.000   0.000   264     392     83.6820451    -33.6178984   135200.0000000  -671600.0000000  135200.0000000  -671600.0000000  
4       24      416     -1      27      84.1050799    -32.3467295   0.000   0.178   17.084  0.302   2      -0.200  5.400   23      443     84.0957821    -31.8712076   140000.0000000  -623600.0000000  145400.0000000  -623400.0000000  
5       192     424     0       0       83.7997932    -32.8409566   0.000   0.483   55.657  0.721   3      0.000   0.000   192     424     83.7997932    -32.8409566   141600.0000000  -657200.0000000  141600.0000000  -657200.0000000  
6       224     424     0       0       83.7421897    -32.9547822   0.000   0.313   35.159  0.571   3      0.000   0.000   224     424     83.7421897    -32.9547822   141600.0000000  -663600.0000000  141600.0000000  -663600.0000000  
7       256     424     0       0       83.6845650    -33.0665271   0.000   0.252   24.638  0.461   3      0.000   0.000   256     424     83.6845650    -33.0665271   141600.0000000  -670000.0000000  141600.0000000  -670000.0000000  
8       80      448     2       23      83.9914519    -32.0132937   5.625   0.147   14.972  0.449   3      0.400   4.600   82      471     83.9782098    -31.6278283   146400.0000000  -634800.0000000  151000.0000000  -635200.0000000  
9       128     448     0       0       83.9052968    -32.2003456   0.000   0.271   28.011  0.331   2      0.000   0.000   128     448     83.9052968    -32.2003456   146400.0000000  -644400.0000000  146400.0000000  -644400.0000000  
10      240     456     0       -1      83.7008789    -32.4857501   0.000   0.241   24.086  0.401   3      0.000   -0.200  240     455     83.7012775    -32.5021295   148000.0000000  -666800.0000000  147800.0000000  -666800.0000000  
11      208     464     0       0       83.7551395    -32.2362394   0.000   0.412   45.526  0.641   3      0.000   0.000   208     464     83.7551395    -32.2362394   149600.0000000  -660400.0000000  149600.0000000  -660400.0000000  
12      72      480     -1      26      83.9922569    -31.4331038   0.000   0.142   14.400  0.226   1      -0.200  5.200   71      506     83.9826325    -30.9850561   152800.0000000  -633200.0000000  158000.0000000  -633000.0000000  
13      128     480     0       0       83.8919729    -31.6604040   0.000   0.220   21.559  0.332   2      0.000   0.000   128     480     83.8919729    -31.6604040   152800.0000000  -644400.0000000  152800.0000000  -644400.0000000  
14      240     512     0       -1      83.6777385    -31.5718831   0.000   0.231   22.920  0.418   3      0.000   -0.200  240     511     83.6781658    -31.5881427   159200.0000000  -666800.0000000  159000.0000000  -666800.0000000  
15      192     520     0       0       83.7601703    -31.2513010   0.000   0.429   47.784  0.768   3      0.000   0.000   192     520     83.7601703    -31.2513010   160800.0000000  -657200.0000000  160800.0000000  -657200.0000000  
