no.,sX1_aeqd,sX2_aeqd,sX3_aeqd,sY1_aeqd,sY2_aeqd,sY3_aeqd,vertice_idx1,vertice_idx2,vertice_idx3
0,474042.58625705674,558526.0033537346,435420.4346300404,9589966.6193998,9590192.63491152,9591753.516996602,8,48,1
1,410903.67541318893,413134.25138344016,406366.9389576024,9336510.354962844,9349219.876681235,9394911.570302784,379,348,224
2,413134.25138344016,419090.0181755524,406366.9389576024,9349219.876681235,9368755.83775465,9394911.570302784,348,307,224
3,426494.53888061375,433316.7867821004,435420.4346300404,9588647.12061297,9583685.092468034,9591753.516996602,0,2,1
4,442240.5828017263,474042.58625705674,435420.4346300404,9586785.25270109,9589966.6193998,9591753.516996602,3,8,1
5,433316.7867821004,442240.5828017263,435420.4346300404,9583685.092468034,9586785.25270109,9591753.516996602,2,3,1
6,474042.58625705674,517858.73489005514,558526.0033537346,9589966.6193998,9586589.042662902,9590192.63491152,8,28,48
7,990408.7463783757,993657.6106513982,998028.6422460503,9442802.041198323,9422623.569493292,9414004.12968243,997,1039,1052
8,417943.6496832218,410903.67541318893,417467.100185511,9340865.808564344,9336510.354962844,9329246.726691669,378,379,420
9,417943.6496832218,413134.25138344016,410903.67541318893,9340865.808564344,9349219.876681235,9336510.354962844,378,348,379
10,431163.0473853708,424970.4026366531,419090.0181755524,9369392.279213492,9385966.010500455,9368755.83775465,322,265,307
11,425747.7206183683,422686.25730538485,406366.9389576024,9404564.316342881,9414014.671335183,9394911.570302784,231,203,224
12,424970.4026366531,433721.9124873402,427032.27393785625,9385966.010500455,9389073.314689951,9394027.08590117,265,274,250
13,425713.10325837455,426494.53888061375,420119.66737485264,9570027.547497753,9588647.12061297,9562108.22282449,4,0,6
14,425713.10325837455,433316.7867821004,426494.53888061375,9570027.547497753,9583685.092468034,9588647.12061297,4,2,0
15,425128.16076594923,429638.2390192149,443915.3753781059,9556063.982054079,9538382.723243231,9544740.593126373,12,24,27
16,448848.24051291175,442240.5828017263,433316.7867821004,9577158.30151143,9586785.25270109,9583685.092468034,7,3,2
17,473499.54719467286,484240.89586235717,474042.58625705674,9578332.722340375,9582473.092600927,9589966.6193998,14,16,8
18,484240.89586235717,473499.54719467286,487190.131408216,9582473.092600927,9578332.722340375,9570667.234757898,16,14,25
19,686166.9471364213,685224.4049946284,696836.634306975,9576270.674924409,9562336.040006762,9577852.501497682,187,217,195
20,685224.4049946284,686166.9471364213,677916.0283861649,9562336.040006762,9576270.674924409,9558177.401135357,217,187,218
21,734831.3621089994,719586.6081749513,730721.5157820131,9398955.639112605,9403592.268425457,9389939.683598835,773,734,792
22,560394.9189481337,564997.8205887475,572164.0722003996,9433864.95528593,9423112.085891588,9427354.969485395,362,405,404
23,564997.8205887475,560394.9189481337,549021.1806321793,9423112.085891588,9433864.95528593,9415869.348773388,405,362,395
24,989278.6958356082,990408.7463783757,982829.2109540893,9431241.899493897,9442802.041198323,9436565.143883768,1022,997,1008
25,989278.6958356082,993657.6106513982,990408.7463783757,9431241.899493897,9422623.569493292,9442802.041198323,1022,1039,997
26,988986.7352689396,990408.7463783757,998028.6422460503,9463963.69732444,9442802.041198323,9414004.12968243,960,997,1052
27,838954.7786874718,905793.8378300589,858018.976192321,9318242.54052336,9315718.221614592,9320069.397694483,1067,1108,1077
28,758440.5994128783,838954.7786874718,799600.2527935789,9321384.212173307,9318242.54052336,9320405.54487241,991,1067,1037
29,682852.3853763447,671857.2348996223,682072.5433436953,9449371.104195353,9440808.068693835,9437767.164680354,529,542,572
30,689299.4223901676,682852.3853763447,682072.5433436953,9441922.238455107,9449371.104195353,9437767.164680354,571,529,572
31,639029.1861099211,651687.7238288408,643232.2005924908,9470992.93870803,9478317.992422558,9482376.252210954,387,386,359
32,413134.25138344016,418516.37248236185,419090.0181755524,9349219.876681235,9354810.076146362,9368755.83775465,348,341,307
33,417943.6496832218,418516.37248236185,413134.25138344016,9340865.808564344,9354810.076146362,9349219.876681235,378,341,348
34,430572.8725919945,418516.37248236185,417943.6496832218,9355447.490740096,9354810.076146362,9340865.808564344,364,341,378
35,424001.1253165361,431163.0473853708,419090.0181755524,9362721.651360385,9369392.279213492,9368755.83775465,328,322,307
36,418516.37248236185,424001.1253165361,419090.0181755524,9354810.076146362,9362721.651360385,9368755.83775465,341,328,307
37,424001.1253165361,418516.37248236185,430572.8725919945,9362721.651360385,9354810.076146362,9355447.490740096,328,341,364
38,435371.24740325456,430572.8725919945,417943.6496832218,9347084.575576978,9355447.490740096,9340865.808564344,399,364,378
39,431163.0473853708,436067.4369547339,441671.20619574864,9369392.279213492,9363352.094691193,9373578.06518736,322,347,327
40,424001.1253165361,436067.4369547339,431163.0473853708,9362721.651360385,9363352.094691193,9369392.279213492,328,347,322
41,436067.4369547339,424001.1253165361,430572.8725919945,9363352.094691193,9362721.651360385,9355447.490740096,347,328,364
42,419090.0181755524,416509.6327340427,406366.9389576024,9368755.83775465,9389825.09404157,9394911.570302784,307,247,224
43,424970.4026366531,416509.6327340427,419090.0181755524,9385966.010500455,9389825.09404157,9368755.83775465,265,247,307
44,416509.6327340427,424970.4026366531,427032.27393785625,9389825.09404157,9385966.010500455,9394027.08590117,247,265,250
45,416509.6327340427,425747.7206183683,406366.9389576024,9389825.09404157,9404564.316342881,9394911.570302784,247,231,224
46,425747.7206183683,416509.6327340427,427032.27393785625,9404564.316342881,9389825.09404157,9394027.08590117,231,247,250
47,452560.40186379524,445319.5469886297,457499.9312966243,9463930.659660673,9457272.847823953,9457874.872963473,149,154,165
48,418991.9018858892,431951.33841880364,423422.341504538,9450283.093951957,9469524.157041704,9473392.829953259,136,116,102
49,431951.33841880364,418991.9018858892,440373.20604823256,9469524.157041704,9450283.093951957,9463322.57669965,116,136,135
50,439091.2245082095,431951.33841880364,440373.20604823256,9473866.561491638,9469524.157041704,9463322.57669965,115,116,135
51,433533.37420503114,431460.8658303925,441916.8042334328,9425185.543314056,9417124.218421495,9418985.227491371,194,210,220
52,443997.9667991164,433533.37420503114,441916.8042334328,9427044.24913363,9425185.543314056,9418985.227491371,202,194,220
53,433533.37420503114,443997.9667991164,434227.64434450644,9425185.543314056,9427044.24913363,9441462.611346256,194,202,169
54,422686.25730538485,419810.69184997457,406366.9389576024,9414014.671335183,9428115.572280046,9394911.570302784,203,173,224
55,419810.69184997457,418991.9018858892,406366.9389576024,9428115.572280046,9450283.093951957,9394911.570302784,173,136,224
56,431460.8658303925,419810.69184997457,422686.25730538485,9417124.218421495,9428115.572280046,9414014.671335183,210,173,203
57,419810.69184997457,431460.8658303925,433533.37420503114,9428115.572280046,9417124.218421495,9425185.543314056,173,210,194
58,418991.9018858892,419810.69184997457,434227.64434450644,9450283.093951957,9428115.572280046,9441462.611346256,136,173,169
59,419810.69184997457,433533.37420503114,434227.64434450644,9428115.572280046,9425185.543314056,9441462.611346256,173,194,169
60,458750.1571401835,453855.43766545475,441671.20619574864,9370458.592501413,9376510.356853105,9373578.06518736,370,340,327
61,457711.1311597776,453855.43766545475,458750.1571401835,9385645.590627378,9376510.356853105,9370458.592501413,321,340,370
62,436764.9464223752,431163.0473853708,441671.20619574864,9379621.596728269,9369392.279213492,9373578.06518736,306,322,327
63,436764.9464223752,424970.4026366531,431163.0473853708,9379621.596728269,9385966.010500455,9369392.279213492,306,265,322
64,436764.9464223752,433721.9124873402,424970.4026366531,9379621.596728269,9389073.314689951,9385966.010500455,306,274,265
65,439236.2065065867,425747.7206183683,427032.27393785625,9396977.784079606,9404564.316342881,9394027.08590117,260,231,250
66,433721.9124873402,439236.2065065867,427032.27393785625,9389073.314689951,9396977.784079606,9394027.08590117,274,260,250
67,416123.12546072446,418991.9018858892,423422.341504538,9507498.187636051,9450283.093951957,9473392.829953259,47,136,102
68,416123.12546072446,420119.66737485264,406366.9389576024,9507498.187636051,9562108.22282449,9394911.570302784,47,6,224
69,418991.9018858892,416123.12546072446,406366.9389576024,9450283.093951957,9507498.187636051,9394911.570302784,136,47,224
70,444424.1806929589,425128.16076594923,443915.3753781059,9556374.729733752,9556063.982054079,9544740.593126373,18,12,27
71,445035.6588915447,444424.1806929589,448231.4350200166,9570336.612692181,9556374.729733752,9563196.272340862,11,18,15
72,455651.97533858416,445035.6588915447,448231.4350200166,9572181.437822744,9570336.612692181,9563196.272340862,13,11,15
