no.,vertice_idx1,vertice_idx2,vertice_idx3
0,251,315,317
1,251,301,315
2,324,319,212
3,319,102,212
4,102,319,330
5,93,81,96
6,81,51,96
7,107,93,96
8,108,137,212
9,102,87,212
10,14,31,4
11,31,14,32
12,59,31,32
13,901,906,896
14,198,498,295
15,834,841,810
16,841,834,861
17,232,251,212
18,868,861,881
19,726,794,749
20,93,105,81
21,81,105,80
22,105,101,80
23,40,28,96
24,51,40,96
25,221,198,295
26,274,221,295
27,221,274,224
28,101,91,80
29,91,79,80
30,79,71,80
31,71,81,80
32,71,51,81
33,71,60,51
34,87,88,212
35,82,87,102
36,5,14,4
37,1,5,4
38,5,1,0
39,2,5,0
40,5,2,14
41,53,45,57
42,45,51,57
43,45,40,51
44,913,865,881
45,865,913,858
46,835,913,916
47,913,835,858
48,893,901,896
49,860,883,874
50,883,860,880
51,860,870,880
52,870,860,845
53,861,869,881
54,869,913,881
55,913,869,895
56,232,236,251
57,325,324,212
58,326,325,212
59,251,320,212
60,320,326,212
61,320,251,317
62,878,868,881
63,835,849,858
64,829,849,835
65,688,726,749
66,102,688,749
67,385,688,102
68,551,555,573
69,555,551,534
70,452,497,529
71,109,105,93
72,105,109,118
73,107,109,93
74,118,109,128
75,109,134,128
76,109,107,134
77,279,288,290
78,211,221,224
79,227,211,224
80,100,91,101
81,66,71,79
82,66,60,71
83,78,66,79
84,51,66,57
85,60,66,51
86,65,53,57
87,66,65,57
88,91,90,79
89,90,78,79
90,100,90,91
91,211,214,207
92,124,137,108
93,110,124,108
94,124,110,111
95,106,110,108
96,106,59,111
97,110,106,111
98,89,108,212
99,88,89,212
100,10,2,0
101,48,88,87
102,3,8,47
103,1,3,0
104,911,910,906
105,912,907,917
106,912,917,916
107,911,912,916
108,901,909,906
109,907,909,901
110,912,909,907
111,909,911,906
112,909,912,911
113,498,848,698
114,848,870,845
115,886,883,880
116,886,893,883
117,870,886,880
118,753,721,774
119,721,754,774
120,694,754,721
121,860,844,845
122,844,860,874
123,444,371,295
124,681,647,700
125,647,671,700
126,663,671,636
127,315,337,317
128,883,882,874
129,842,827,895
130,787,834,810
131,834,787,830
132,862,869,861
133,834,862,861
134,862,834,830
135,856,842,895
136,869,856,895
137,253,301,251
138,253,262,301
139,262,253,240
140,262,283,301
141,326,327,342
142,320,327,326
143,311,332,328
144,307,311,301
145,332,307,333
146,307,332,311
147,305,306,316
148,816,835,794
149,800,816,794
150,688,727,726
151,866,871,865
152,865,871,881
153,871,878,881
154,745,750,700
155,854,841,861
156,868,854,861
157,640,594,612
158,555,594,573
159,501,533,500
160,551,512,534
161,487,512,502
162,512,487,491
163,542,501,502
164,501,542,533
165,512,542,502
166,542,512,551
167,542,551,573
168,604,542,573
