no.,vertice_idx1,vertice_idx2,vertice_idx3
6,444,439,429
7,439,428,429
8,451,444,445
10,451,447,454
11,447,436,438
12,356,335,398
14,256,284,255
15,276,281,296
18,16,39,47
19,437,427,452
20,427,431,452
22,431,449,452
23,441,449,431
24,441,432,433
25,432,441,431
26,449,446,453
27,447,448,454
28,448,447,438
30,426,448,438
32,451,450,444
33,450,439,444
34,444,435,445
35,435,430,445
36,435,444,429
37,397,392,384
38,392,397,409
39,392,377,384
40,435,412,430
41,412,435,429
42,451,440,447
43,440,436,447
44,440,451,445
45,440,423,436
46,430,440,445
47,423,440,430
48,388,365,398
49,378,397,384
51,305,267,244
52,210,192,217
53,257,261,247
54,306,323,308
55,291,276,296
57,370,351,368
59,351,338,347
60,379,370,368
61,372,364,357
62,359,360,373
63,367,359,373
64,358,372,357
65,372,358,367
66,316,307,308
67,338,316,327
69,320,306,310
70,306,320,323
71,323,328,308
72,316,328,327
73,328,316,308
74,8,9,2
75,9,7,2
76,39,42,47
77,48,55,52
78,43,48,23
79,10,1,2
80,1,10,4
81,38,53,35
82,25,38,15
83,38,35,15
84,40,31,35
85,53,40,35
86,156,170,182
87,170,156,144
88,40,51,50
89,51,40,53
90,41,25,29
91,41,38,25
92,162,170,144
93,170,162,174
94,421,437,411
95,421,427,437
96,360,371,373
97,371,386,373
98,386,371,377
99,386,392,401
100,392,386,377
101,377,369,384
102,348,360,344
103,331,348,344
104,407,392,409
105,392,407,401
106,407,412,401
107,423,407,409
108,412,407,430
109,407,423,430
110,436,420,438
111,378,387,397
112,402,388,398
113,264,271,277
114,282,271,267
115,305,282,267
116,271,282,277
117,145,168,154
118,192,215,217
119,239,250,254
120,250,239,238
121,242,239,254
122,239,242,220
123,250,259,254
124,259,264,254
125,264,259,271
126,271,259,267
127,242,223,220
128,191,210,197
129,210,191,192
130,183,191,197
131,192,191,183
132,356,346,335
133,268,284,256
134,260,268,256
135,268,286,284
136,268,261,273
137,268,260,261
138,298,306,308
139,307,298,308
140,286,289,284
141,289,306,284
142,306,289,310
143,289,301,310
144,301,289,286
145,309,300,296
146,300,291,296
147,291,280,276
148,364,366,347
149,351,366,368
150,366,351,347
151,364,380,382
152,380,389,382
153,380,372,385
154,372,380,364
155,360,350,344
156,359,350,360
157,320,334,323
158,324,329,336
159,350,329,344
160,329,350,336
161,328,339,327
162,339,338,327
163,338,339,347
164,343,328,323
165,334,343,323
166,343,339,328
167,339,343,347
168,364,343,357
169,343,364,347
170,9,19,7
171,42,32,52
172,32,48,52
173,48,32,23
174,140,149,127
175,124,117,131
176,117,124,107
177,19,18,7
178,27,18,28
179,18,19,28
180,17,43,23
181,43,17,27
182,4,17,23
183,10,17,4
184,68,42,52
185,42,68,47
186,79,68,80
187,61,55,48
188,61,43,62
189,43,61,48
190,3,1,4
191,5,3,4
193,13,4,23
194,13,5,4
195,11,20,8
196,20,33,37
197,170,175,182
198,175,185,182
199,175,170,174
200,183,175,174
201,175,183,197
202,185,175,197
203,185,190,182
204,190,196,182
205,196,190,204
206,201,210,220
207,210,201,197
208,201,185,197
209,190,201,204
210,201,190,185
211,118,111,105
212,91,113,103
213,63,51,53
214,51,63,71
215,86,91,103
216,151,162,144
217,418,432,431
219,379,396,370
220,399,421,411
221,396,399,411
222,399,396,379
223,446,443,453
224,434,443,446
225,443,450,453
226,443,434,428
227,439,443,428
228,450,443,439
229,390,380,385
230,380,390,389
231,416,412,429
232,428,416,429
233,381,367,373
234,386,381,373
235,381,386,391
236,381,372,367
237,394,386,401
238,386,394,391
239,412,394,401
240,416,394,412
241,361,369,377
242,361,371,360
243,371,361,377
244,348,361,360
245,375,363,365
246,363,375,378
247,375,387,378
248,388,375,365
249,387,375,388
250,374,363,378
251,374,378,384
252,369,374,384
253,354,363,353
254,342,354,353
255,354,342,340
256,423,419,436
257,419,420,436
258,419,423,409
259,397,419,409
260,420,419,410
261,410,419,397
262,424,426,438
263,424,420,410
264,420,424,438
265,395,402,410
266,395,410,397
267,387,395,397
268,395,387,388
269,402,395,388
270,277,283,287
271,282,283,277
272,123,132,129
273,186,206,205
274,162,165,174
275,215,212,222
276,206,212,205
277,222,212,206
278,193,215,192
279,212,193,205
280,193,212,215
281,226,215,222
282,215,226,217
283,239,226,238
285,232,222,206
286,221,239,220
287,221,210,217
288,210,221,220
289,226,221,217
290,221,226,239
291,252,259,250
292,246,252,238
293,252,250,238
294,259,252,267
295,243,252,246
296,267,252,244
297,252,243,244
298,230,223,242
299,219,230,224
300,230,219,223
301,223,214,220
302,214,201,220
303,201,214,204
304,219,214,223
305,270,264,277
306,270,277,287
307,274,270,287
308,278,274,287
309,294,278,287
310,278,294,285
311,278,285,281
312,346,322,335
313,322,313,335
314,355,346,356
315,355,354,340
316,355,356,365
317,363,355,365
318,354,355,363
319,281,293,296
320,285,293,281
321,293,311,296
322,297,294,287
323,266,280,273
324,280,266,276
325,262,266,257
326,261,266,273
327,257,266,261
328,265,270,274
329,251,257,247
330,251,262,257
331,251,253,262
332,301,292,302
333,292,301,286
334,317,329,324
335,301,317,310
336,318,317,302
337,317,301,302
338,306,288,284
339,298,288,306
340,284,288,255
341,288,307,255
342,288,298,307
343,261,245,247
344,260,245,261
345,245,260,256
346,236,245,256
347,228,256,255
348,228,236,256
349,207,228,255
350,228,207,218
351,177,156,182
352,196,177,182
353,189,177,196
354,300,299,291
355,299,318,302
356,318,299,309
357,299,300,309
358,376,364,382
359,376,366,364
360,376,379,368
361,366,376,368
362,349,334,336
363,349,358,357
364,358,349,367
365,343,349,357
366,349,343,334
367,321,334,320
368,321,320,310
369,321,324,336
370,334,321,336
371,317,321,310
372,321,317,324
373,330,318,331
374,330,331,344
375,329,330,344
376,14,9,8
377,20,14,8
378,149,152,159
379,152,149,140
380,156,148,144
381,124,126,107
382,136,124,131
383,108,98,111
384,117,108,111
385,126,110,107
386,110,126,122
387,90,80,84
388,97,90,84
389,90,79,80
390,6,18,10
391,18,6,7
392,7,6,2
393,6,10,2
394,68,67,47
395,67,68,79
398,61,64,55
399,80,64,84
400,68,64,80
401,55,64,52
402,64,68,52
403,74,61,62
404,32,22,23
405,22,13,23
406,22,16,0
407,13,22,5
408,3,22,0
409,22,3,5
410,35,21,15
411,31,21,35
412,11,24,20
413,24,33,20
414,24,21,31
415,21,24,11
416,118,128,111
417,148,128,144
418,128,148,142
419,128,117,111
420,128,142,131
421,117,128,131
422,58,77,62
423,88,81,93
424,81,88,77
425,151,141,129
426,141,151,144
427,128,141,144
428,141,128,118
429,432,414,433
430,418,414,432
431,414,425,433
432,414,418,408
433,418,417,408
434,399,417,421
435,417,399,408
436,421,417,427
437,427,417,431
438,417,418,431
439,399,393,408
440,389,393,382
441,393,376,382
442,393,399,379
443,376,393,379
444,442,434,446
445,442,425,434
446,425,442,433
447,442,441,433
448,442,449,441
449,442,446,449
450,425,422,434
451,434,422,428
452,390,400,405
453,400,422,405
454,422,400,428
455,372,383,385
456,381,383,372
457,383,390,385
458,383,400,390
459,383,381,391
460,400,383,391
461,394,406,391
462,406,394,416
463,406,400,391
464,406,416,428
465,400,406,428
466,352,361,348
467,332,348,331
468,363,362,353
469,374,362,363
470,362,352,353
471,362,374,369
472,361,362,369
473,352,362,361
474,424,413,426
475,426,413,398
476,413,402,398
477,402,413,410
478,413,424,410
480,313,314,335
481,314,304,305
482,314,313,304
483,295,283,282
484,304,295,305
485,295,282,305
486,297,295,304
487,283,295,287
488,295,297,287
489,133,120,134
490,146,168,145
491,133,146,138
492,133,119,120
493,119,133,138
494,143,151,129
495,132,143,129
496,143,145,154
497,186,169,206
499,151,157,162
500,157,165,162
501,165,157,154
502,157,143,154
503,143,157,151
504,231,226,222
505,232,231,222
506,322,337,326
507,337,322,346
508,355,337,346
509,337,355,340
510,342,333,340
511,297,303,294
512,303,311,293
513,294,303,285
514,303,293,285
515,276,272,281
516,272,265,274
517,272,278,281
518,278,272,274
519,241,230,242
520,290,280,291
521,292,290,302
522,290,299,302
523,299,290,291
524,245,234,247
525,177,161,156
526,199,207,195
527,207,199,218
528,199,198,218
529,227,216,224
530,216,219,224
531,216,200,189
532,219,216,196
533,216,189,196
534,176,177,189
535,200,176,189
536,350,345,336
537,345,349,336
538,345,350,359
539,345,359,367
540,349,345,367
541,26,19,9
542,14,26,9
543,36,26,37
544,26,20,37
545,26,14,20
546,153,148,156
547,148,153,142
548,161,153,156
549,135,126,124
550,136,135,124
551,101,117,107
552,101,108,117
553,97,101,107
554,108,101,98
555,98,101,84
556,101,97,84
557,110,99,107
558,99,110,104
559,99,97,107
560,99,90,97
561,110,116,104
562,79,116,127
563,130,116,122
564,116,110,122
565,90,94,79
566,94,116,79
567,116,94,104
568,94,99,104
569,99,94,90
570,73,64,61
571,74,73,61
572,64,73,84
573,73,98,84
574,73,74,98
575,22,30,16
576,30,22,32
577,16,30,39
578,30,42,39
579,30,32,42
580,21,12,15
581,12,21,11
585,34,24,31
586,24,34,33
587,40,34,31
588,34,40,50
589,33,34,50
590,88,100,105
591,100,88,93
592,95,88,105
593,43,44,62
594,44,58,62
595,44,43,27
596,36,44,28
597,44,27,28
598,49,44,36
599,44,49,58
600,113,115,103
601,115,123,129
602,112,115,129
603,119,109,120
604,120,109,134
605,109,119,113
606,58,59,77
607,59,81,77
608,49,59,58
609,403,414,408
610,393,403,408
611,403,393,389
612,414,415,425
613,415,422,425
614,422,415,405
615,332,341,348
616,341,352,348
617,341,333,342
618,333,341,332
619,341,342,353
620,352,341,353
621,319,332,331
622,318,319,331
623,319,318,309
624,121,119,138
625,119,121,113
626,121,115,113
627,115,121,123
628,166,169,186
629,146,166,168
630,194,179,186
631,179,194,193
632,194,186,205
633,193,194,205
634,179,171,168
635,168,171,154
636,171,165,154
637,235,231,243
638,235,243,246
639,231,235,226
640,235,246,238
641,226,235,238
642,333,312,311
643,312,333,332
644,319,312,332
645,312,319,309
646,312,309,296
647,311,312,296
648,315,303,297
649,315,322,326
650,322,315,313
651,313,315,304
652,315,297,304
653,269,272,276
654,266,269,276
655,269,266,262
656,280,279,273
657,290,279,280
658,279,290,292
659,237,251,247
660,234,237,247
661,213,237,234
662,225,228,218
663,228,225,236
664,213,225,218
665,225,213,234
666,233,245,236
667,233,234,245
668,225,233,236
669,233,225,234
670,160,135,136
671,188,176,200
672,181,188,187
673,188,181,176
674,147,160,155
675,160,147,135
676,152,147,155
677,147,152,140
678,116,125,127
679,125,116,130
680,125,140,127
681,125,130,140
682,102,100,93
683,102,115,112
684,115,102,103
685,114,112,129
686,114,118,105
687,100,114,105
688,114,102,112
689,102,114,100
690,141,114,129
691,114,141,118
692,85,95,98
693,74,85,98
694,88,85,77
695,95,85,88
696,45,36,37
697,45,49,36
698,109,106,134
700,63,78,71
701,83,78,63
702,92,106,109
703,106,92,96
704,86,70,71
705,390,404,389
706,404,403,389
707,404,390,405
708,415,404,405
709,403,404,414
710,404,415,414
711,137,121,138
712,137,146,145
713,146,137,138
714,143,137,145
715,137,143,132
716,158,166,146
717,158,133,134
718,158,146,133
720,166,158,169
721,178,179,193
722,178,171,179
723,178,193,192
724,178,192,183
725,178,183,174
726,165,178,174
727,171,178,165
728,315,325,303
729,325,333,311
730,303,325,311
731,325,315,326
732,333,325,340
733,337,325,326
734,325,337,340
735,253,263,262
736,263,269,262
737,272,263,265
738,269,263,272
739,265,249,270
740,270,249,264
741,249,241,242
742,249,242,254
743,264,249,254
744,230,240,224
745,241,240,230
746,240,227,224
747,240,248,227
748,249,240,241
749,240,249,248
750,275,292,286
751,275,279,292
752,268,275,286
753,275,268,273
754,279,275,273
755,237,229,251
756,251,229,253
757,213,229,237
758,248,229,227
759,229,248,253
760,198,202,218
761,202,213,218
762,202,198,187
763,150,160,136
764,160,150,161
765,150,136,131
766,142,150,131
767,153,150,142
768,150,153,161
769,163,181,172
770,163,172,152
771,163,152,155
772,181,173,176
773,173,160,161
774,173,161,177
775,176,173,177
776,184,167,172
777,184,172,198
778,199,184,198
779,184,199,195
780,211,216,227
781,229,211,227
782,211,229,213
783,147,139,135
784,135,139,126
785,130,139,140
786,139,147,140
787,139,130,122
788,126,139,122
789,75,74,62
790,75,85,74
791,77,75,62
792,85,75,77
793,56,59,49
794,45,56,49
795,78,89,91
796,89,113,91
797,89,78,83
798,92,89,83
799,89,109,113
800,89,92,109
801,72,83,63
802,72,63,53
803,72,76,83
804,69,70,86
805,59,69,81
806,56,69,59
807,70,60,71
808,51,60,50
809,60,51,71
810,69,60,70
811,263,258,265
812,258,249,265
813,249,258,248
814,248,258,253
815,258,263,253
816,163,164,181
817,164,173,181
818,164,163,155
819,160,164,155
820,173,164,160
821,180,184,195
822,184,180,167
829,203,188,200
830,188,203,187
831,216,209,200
832,211,209,216
833,209,203,200
834,203,209,211
835,46,56,45
836,46,33,50
837,33,46,37
838,46,45,37
839,76,87,83
840,92,87,96
841,87,92,83
847,76,65,66
848,72,65,76
849,82,69,86
850,69,82,81
851,82,86,93
852,81,82,93
853,57,69,56
854,57,60,69
855,46,57,56
856,60,57,50
857,57,46,50
858,208,211,213
859,208,203,211
860,202,208,213
861,208,202,187
862,203,208,187
863,54,72,53
864,54,65,72
865,38,54,53
866,41,54,38
867,65,54,66
868,54,41,29
869,66,54,29
870,18,17,10
871,17,18,27
872,214,219,196
873,214,196,204
874,317,330,329
875,330,317,318
876,231,232,244
877,243,231,244
878,19,26,28
879,26,36,28
880,98,95,111
881,111,95,105
882,179,166,186
883,166,179,168
884,172,181,198
885,198,181,187
886,172,167,152
887,152,167,159
888,86,102,93
889,102,86,103
890,86,78,91
891,78,86,71
892,121,137,123
893,137,132,123
