no.,sX1_aeqd,sX2_aeqd,sX3_aeqd,sY1_aeqd,sY2_aeqd,sY3_aeqd,vertice_idx1,vertice_idx2,vertice_idx3
0,984241.4419291213,996757.5142035116,999713.7344679941,9326137.982154237,9313191.525598535,9325719.250193901,1101,1105,1103
1,470582.3086894902,986305.6101694684,681359.9638655725,9328562.387760913,9311929.68426153,9324196.73115311,511,1104,870
2,984241.4419291213,986305.6101694684,996757.5142035116,9326137.982154237,9311929.68426153,9313191.525598535,1101,1104,1105
3,991172.8278441628,988851.6641024422,982885.3213890864,9432800.3734132,9444711.614950221,9437143.203710938,999,974,987
4,986305.6101694684,813304.1521954918,681359.9638655725,9311929.68426153,9319847.47653608,9324196.73115311,1104,1029,870
5,970144.2050473138,984241.4419291213,976263.40246344,9322894.853806298,9326137.982154237,9332778.454251291,1099,1101,1097
6,988851.6641024422,974309.9119768352,982885.3213890864,9444711.614950221,9456684.897570547,9437143.203710938,974,940,987
7,887149.7721174562,873599.7681109145,867670.2220793965,9537379.778279057,9543268.468794096,9535623.604846137,595,560,572
8,873599.7681109145,887149.7721174562,881183.0340404494,9543268.468794096,9537379.778279057,9549594.25237264,560,595,553
9,797707.5052547258,824401.3194853268,756427.4812417489,9561415.381227644,9565043.317977807,9574023.328891665,373,408,273
10,463324.3918073793,452691.7533225995,453977.6810908544,9586396.748638367,9584560.422258232,9574007.809071785,3,2,7
11,442265.93414319964,463324.3918073793,474069.7598447156,9587367.074857354,9586396.748638367,9590548.329098308,1,3,4
12,452691.7533225995,463324.3918073793,442265.93414319964,9584560.422258232,9586396.748638367,9587367.074857354,2,3,1
13,445061.162285207,442265.93414319964,433341.61819989415,9570918.375349825,9587367.074857354,9584266.946055582,6,1,0
14,445061.162285207,452691.7533225995,442265.93414319964,9570918.375349825,9584560.422258232,9587367.074857354,6,2,1
15,452691.7533225995,445061.162285207,453977.6810908544,9584560.422258232,9570918.375349825,9574007.809071785,2,6,7
16,419834.68139163184,416528.20969167684,409180.0356062417,9428696.927773414,9517386.781671762,9379074.352678468,163,33,257
17,991172.8278441628,981539.8501707247,999008.8413832976,9432800.3734132,9423270.148547707,9406315.59708,999,1004,1041
18,981539.8501707247,991172.8278441628,982885.3213890864,9423270.148547707,9432800.3734132,9437143.203710938,1004,999,987
19,995160.8290852268,984241.4419291213,999713.7344679941,9332021.690632412,9326137.982154237,9325719.250193901,1100,1101,1103
20,999258.8119590499,995160.8290852268,999713.7344679941,9338600.190256773,9332021.690632412,9325719.250193901,1098,1100,1103
21,984241.4419291213,995160.8290852268,976263.40246344,9326137.982154237,9332021.690632412,9332778.454251291,1101,1100,1097
22,999258.8119590499,999252.6373276681,998346.2026549823,9338600.190256773,9373608.725319918,9346861.965422196,1098,1078,1095
23,999008.8413832976,999252.6373276681,999713.7344679941,9406315.59708,9373608.725319918,9325719.250193901,1041,1078,1103
24,999252.6373276681,999258.8119590499,999713.7344679941,9373608.725319918,9338600.190256773,9325719.250193901,1078,1098,1103
25,813304.1521954918,886978.4364940255,840805.1382755409,9319847.47653608,9316877.303739378,9319830.505244998,1029,1075,1049
26,886978.4364940255,813304.1521954918,986305.6101694684,9316877.303739378,9319847.47653608,9311929.68426153,1075,1029,1104
27,813304.1521954918,758483.8302932424,681359.9638655725,9319847.47653608,9321963.421746546,9324196.73115311,1029,970,870
28,978117.7991224548,986305.6101694684,984241.4419291213,9316260.156578327,9311929.68426153,9326137.982154237,1102,1104,1101
29,970144.2050473138,978117.7991224548,984241.4419291213,9322894.853806298,9316260.156578327,9326137.982154237,1099,1102,1101
30,464805.66320725804,465338.36208070937,455913.303034253,9542024.069124809,9553656.431981364,9538944.51111082,37,26,36
31,974309.9119768352,964452.3082279104,982885.3213890864,9456684.897570547,9444823.61741335,9437143.203710938,940,955,987
32,907675.5638178086,824401.3194853268,888572.2586474944,9550677.62588322,9565043.317977807,9553597.124189053,590,408,552
