no.,dudx,dudy,dvdx,dvdy,eps_I,eps_II,eps_tot
0,nan,nan,nan,nan,nan,nan,nan
1,nan,nan,nan,nan,nan,nan,nan
2,-2.8059844234894216e-05,-2.706039815680069e-05,2.377232524497508e-05,-3.0211025924709034e-05,-5.827087015960325e-05,3.9292500729879605e-06,5.8403196105122677e-05
3,-1.866198808209152e-05,-1.9341630953406685e-05,1.8803901296493564e-05,-2.0283252963881893e-05,-3.894524104597341e-05,1.708113872331309e-06,3.898268145125246e-05
4,0.01224785888286694,0.023693511111090998,-0.006327556338749818,-0.012289887612954797,-4.2028730087857735e-05,0.030061227324382673,0.030061256704641676
5,-1.99068231461208e-05,-1.9863915248580222e-05,1.9454939021779083e-05,-2.0222399866431928e-05,-4.012922301255273e-05,5.165754741476065e-07,4.0132547761283266e-05
6,nan,nan,nan,nan,nan,nan,nan
7,nan,nan,nan,nan,nan,nan,nan
8,-3.0921976594530665e-05,-2.8047852078242827e-05,2.7157128890120674e-05,-3.1529571869359785e-05,-6.245154846389045e-05,1.0782206712232735e-06,6.246085546447078e-05
9,-3.01689729501238e-05,-2.800785158559027e-05,2.598236885242855e-05,-3.102249426589765e-05,-6.119146721602145e-05,2.1979715509570624e-06,6.123092959434998e-05
10,-3.030002955576672e-05,-2.8982331285489805e-05,2.8639876834490874e-05,-2.757127681585203e-05,-5.787130637161875e-05,2.750157553050535e-06,5.793661594988408e-05
11,-2.824846963768099e-05,-2.7074834454693907e-05,2.682056423153334e-05,-2.715413650489218e-05,-5.540260614257317e-05,1.1234849139643565e-06,5.5413996298236713e-05
12,-3.0258089893989842e-05,-2.7547825299939228e-05,2.9090068469406205e-05,-2.7757570867370518e-05,-5.801566076136036e-05,2.9378749796839213e-06,5.808999916486056e-05
13,nan,nan,nan,nan,nan,nan,nan
14,-1.9618242043994982e-05,-2.0535012515129902e-05,1.8956986958862387e-05,-1.9810273269804668e-05,-3.942851531379965e-05,1.5896668355096833e-06,3.946054815253398e-05
15,-2.1756301473586925e-05,-2.0301962420157804e-05,1.9605324553251258e-05,-2.210933559343431e-05,-4.3865637067021235e-05,7.809848957467232e-07,4.3872588853440275e-05
16,-1.9520527832932177e-05,-2.0629874853322905e-05,1.9465471690516267e-05,-2.016030770746191e-05,-3.968083554039409e-05,1.3285906116661304e-06,3.9703071193513605e-05
17,-2.343726775833055e-05,-2.14151180860378e-05,2.094130758889534e-05,-2.3001817280543513e-05,-4.643908503887406e-05,6.435165155668815e-07,4.644354349910851e-05
18,-2.3132340901566018e-05,-2.2085347300582203e-05,2.086136133283567e-05,-2.29044254638211e-05,-4.6036766365387116e-05,1.245024937904006e-06,4.6053598605073646e-05
19,-0.021334709122614814,0.02947688556747438,0.011170573547976459,-0.015449523674658017,-0.03678423279727283,0.04107129581957562,0.055135570395009534
20,-0.043316983564183564,0.022582448488775914,0.02265131165180101,-0.011837951034827876,-0.05515493459901144,0.0551091874866567,0.07796851515875307
21,-3.18006580689173e-05,-4.171893522174515e-05,4.093008474370663e-05,-3.385014577937662e-05,-6.565080384829391e-05,2.1960612359461613e-06,6.568752340345302e-05
22,-2.8598713176723745e-05,-3.261927103059836e-05,3.104387215491222e-05,-2.6929060400027183e-05,-5.552777357675093e-05,2.2955657281471367e-06,5.557520364697877e-05
23,-2.8784814086080246e-05,-3.21103814342541e-05,3.0007225184980335e-05,-2.7493652437038385e-05,-5.627846652311863e-05,2.4678664090294235e-06,5.63325497275474e-05
24,-3.79947092824795e-05,-6.089778525186773e-05,6.0700769138555266e-05,-3.6418058000808884e-05,-7.441276728328838e-05,1.5889130287395675e-06,7.442972913674839e-05
25,nan,nan,nan,nan,nan,nan,nan
26,nan,nan,nan,nan,nan,nan,nan
27,nan,nan,nan,nan,nan,nan,nan
28,nan,nan,nan,nan,nan,nan,nan
29,-2.9218250903795262e-05,-4.008520444145902e-05,3.802617652715057e-05,-3.0169925776091233e-05,-5.9388176679886495e-05,2.2683211885579547e-06,5.943147996117778e-05
30,-2.9088676909927447e-05,-4.0438969061348806e-05,3.799546836713574e-05,-3.0255402608037052e-05,-5.93440795179645e-05,2.7077563585465125e-06,5.9405822259537346e-05
